"Day","Fajr Begins","Fajr Iqama","Sunrise","Dhur Begins","Dhur Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama","Jumah 2 Iqama"
"16","5:57 AM","6:30 AM","7:33 AM","1:03 PM","1:45 PM","4:48 PM","5:10 PM","6:33 PM","7:51 PM","8:15 PM","2:10 PM","3:20 PM"
"17","5:59 AM","6:30 AM","7:34 AM","1:03 PM","1:45 PM","4:46 PM","5:10 PM","6:31 PM","7:50 PM","8:15 PM","2:10 PM","3:20 PM"
"18","6:00 AM","6:30 AM","7:35 AM","1:03 PM","1:45 PM","4:45 PM","5:10 PM","6:29 PM","7:48 PM","8:15 PM","2:10 PM","3:20 PM"
"19","6:01 AM","6:30 AM","7:37 AM","1:03 PM","1:45 PM","4:43 PM","5:10 PM","6:28 PM","7:47 PM","8:15 PM","2:10 PM","3:20 PM"
"20","6:02 AM","6:30 AM","7:38 AM","1:02 PM","1:45 PM","4:42 PM","5:10 PM","6:26 PM","7:45 PM","8:15 PM","2:10 PM","3:20 PM"
"21","6:03 AM","6:30 AM","7:39 AM","1:02 PM","1:45 PM","4:40 PM","5:00 PM","6:25 PM","7:44 PM","8:00 PM","2:10 PM","3:20 PM"
"22","6:04 AM","6:30 AM","7:40 AM","1:02 PM","1:45 PM","4:39 PM","5:00 PM","6:23 PM","7:42 PM","8:00 PM","2:10 PM","3:20 PM"
"23","6:06 AM","6:30 AM","7:42 AM","1:02 PM","1:45 PM","4:37 PM","5:00 PM","6:21 PM","7:41 PM","8:00 PM","2:10 PM","3:20 PM"
"24","6:07 AM","6:30 AM","7:43 AM","1:02 PM","1:45 PM","4:36 PM","5:00 PM","6:20 PM","7:39 PM","8:00 PM","2:10 PM","3:20 PM"
"25","6:08 AM","6:30 AM","7:44 AM","1:02 PM","1:45 PM","4:35 PM","5:00 PM","6:18 PM","7:38 PM","8:00 PM","2:10 PM","3:20 PM"
"26","6:09 AM","6:30 AM","7:46 AM","1:02 PM","1:45 PM","4:33 PM","5:00 PM","6:17 PM","7:37 PM","8:00 PM","2:10 PM","3:20 PM"
"27","6:10 AM","6:30 AM","7:47 AM","1:01 PM","1:45 PM","4:32 PM","5:00 PM","6:15 PM","7:35 PM","8:00 PM","2:10 PM","3:20 PM"
"28","6:11 AM","6:30 AM","7:48 AM","1:01 PM","1:45 PM","4:30 PM","5:00 PM","6:14 PM","7:34 PM","8:00 PM","2:10 PM","3:20 PM"
"29","6:13 AM","6:30 AM","7:49 AM","1:01 PM","1:45 PM","4:29 PM","5:00 PM","6:13 PM","7:33 PM","8:00 PM","2:10 PM","3:20 PM"
"30","6:14 AM","6:30 AM","7:51 AM","1:01 PM","1:45 PM","4:28 PM","5:00 PM","6:11 PM","7:31 PM","8:00 PM","2:10 PM","3:20 PM"
"31","6:15 AM","6:30 AM","7:52 AM","1:01 PM","1:45 PM","4:26 PM","5:00 PM","6:10 PM","7:30 PM","8:00 PM","2:10 PM","3:20 PM"
